,#,Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950,Peakproduction,Peakyear
0,,World,95634593.00,97302534.00,95057929.00,90780583.00,89747430.00,87507027.00,84141209.00,80092840.00,77629127.00,66482439.00,58374162.00,50046000.00,48553969.00,38564516.00,29419484.00,16488340.00,10577426.00,97302534.00,2017
1,1,China,27809196.00,29015434.00,28118794.00,24503326.00,23722890.00,22116825.00,19271808.00,18418876.00,18264761.00,5717619.00,2069069.00,1434772.00,509242.00,222288.00,87166.00,22574.00,?,29015434.00,2017
2,2,United States,11314705.00,11189985.00,12198137.00,12100095.00,11660699.00,11066432.00,10335765.00,8661535.00,7743093.00,11946653.00,12799857.00,11985457.00,9782997.00,8009841.00,8283949.00,7905119.00,8005859.00,13024978.00,1999
3,3,Japan,9728528.00,9693746.00,9204590.00,9278321.00,9774558.00,9630181.00,9943077.00,8398630.00,9628920.00,10799659.00,10140796.00,10195536.00,13486796.00,11042884.00,5289157.00,481551.00,31597.00,13486796.00,1990
4,4,India,5174645.00,4782896.00,4519341.00,4160585.00,3840160.00,3898425.00,4174713.00,3927411.00,3557073.00,1638674.00,801360.00,636000.00,362655.00,113917.00,76409.00,51136.00,14688.00,5174645.00,2018
5,5,Germany,5120409.00,5645581.00,5746808.00,6033164.00,5907548.00,5718222.00,5649260.00,6146948.00,5905985.00,5757710.00,5526615.00,4667364.00,4976552.00,3878553.00,3842247.00,2056149.00,306064.00,6213460.00,2007
6,6,Mexico,4100525.00,4068415.00,3600365.00,3565469.00,3365306.00,3054849.00,3001814.00,2681050.00,2342282.00,1684238.00,1935527.00,935017.00,820558.00,490006.00,192841.00,49807.00,0.00,4100525.00,2018
7,7,South Korea,4028834.00,4114913.00,4228509.00,4555957.00,4524932.00,4521429.00,4561766.00,4657094.00,4271741.00,3699350.00,3114998.00,2526400.00,1321630.00,123135.00,28819.00,0.00,0.00,4657094.00,2011
8,8,Brazil,2879809.00,2699672.00,2156356.00,2429463.00,3364890.00,3712380.00,3402508.00,3407861.00,3381728.00,2530840.00,1681517.00,1629008.00,914466.00,1165174.00,416089.00,133041.00,0.00,3712380.00,2013
9,9,Spain,2819565.00,2848335.00,2885922.00,2733201.00,2402978.00,2163338.00,1979179.00,2373329.00,2387900.00,2752500.00,3032874.00,2333787.00,2053350.00,1181659.00,539132.00,58209.00,253.00,3032874.00,2000
10,10,France,2270000.00,2227000.00,2082000.00,1972000.00,1817000.00,1740000.00,1967765.00,2242928.00,2229421.00,3549008.00,3348361.00,3474705.00,3768993.00,3378433.00,2750086.00,1369210.00,357512.00,3919776.00,1989
11,11,Thailand,2167694.00,1988823.00,1944417.00,1915420.00,1880007.00,2457057.00,2429142.00,1457798.00,1644513.00,1122712.00,411721.00,533200.00,304843.00,73347.00,22055.00,0.00,0.00,2457057.00,2013
12,12,Canada,2020840.00,2199789.00,2370271.00,2283474.00,2393890.00,2379806.00,2463364.00,2135121.00,2068189.00,2687892.00,2961636.00,2407999.00,1947106.00,1369607.00,1159504.00,397739.00,387726.00,3058813.00,1999
