Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,15.87,16.06,15.87,15.96,6.57,15145200
2000-10-19,15.38,15.58,14.81,15.53,6.39,1434600
2000-10-20,15.48,15.67,15.38,15.38,6.33,263100
2000-10-23,15.1,15.1,14.28,14.9,6.14,615900
2000-10-24,14.62,14.76,14.33,14.42,5.94,674300
2000-10-25,13.85,13.94,13.51,13.65,5.62,559200
2000-10-26,13.85,14.04,13.8,14.04,5.78,159200
2000-10-27,14.23,14.62,14.23,14.62,6.02,234700
2000-10-30,14.57,14.57,14.23,14.42,5.94,181800
2000-10-31,15.0,15.29,14.86,15.24,6.28,335200
2000-11-01,15.48,15.58,15.43,15.53,6.39,288200
2000-11-02,15.62,15.62,15.05,15.24,6.28,170100
2000-11-03,15.72,15.77,15.58,15.67,6.45,437700
2000-11-06,16.39,16.59,16.25,16.49,6.79,980700
2000-11-07,16.49,16.49,16.15,16.25,6.69,377600
2000-11-08,16.06,16.06,15.77,15.77,6.49,147000
2000-11-09,15.77,15.77,15.34,15.58,6.41,105900
2000-11-10,15.48,15.48,15.29,15.29,6.3,55700
2000-11-13,15.19,15.19,14.71,14.9,6.14,343300
2000-11-14,15.53,15.82,15.43,15.82,6.51,681000
2000-11-15,15.72,15.72,15.58,15.67,6.45,95500
2000-11-16,15.62,16.2,15.62,16.15,6.65,338200
2000-11-17,16.06,16.35,15.96,16.06,6.61,124100
2000-11-20,15.96,15.96,15.67,15.72,6.47,81900
2000-11-21,15.77,15.77,15.38,15.53,6.39,152300
2000-11-22,15.34,15.34,14.71,14.81,6.1,128900
2000-11-24,14.81,15.29,14.81,15.29,6.3,73000
2000-11-27,15.19,15.24,15.0,15.0,6.18,32300
2000-11-28,14.71,14.71,14.23,14.23,5.86,85500
2000-11-29,13.27,13.37,13.08,13.37,5.5,158700
2000-11-30,13.32,13.32,12.88,13.03,5.36,137900
2000-12-01,13.65,13.7,13.61,13.65,5.62,64000
2000-12-04,13.99,14.04,13.89,14.04,5.78,134200
2000-12-05,13.89,14.13,13.89,14.13,5.82,280400
2000-12-06,14.23,14.33,14.04,14.09,5.8,164000
2000-12-07,13.99,14.04,13.99,13.99,5.76,55200
2000-12-08,13.99,14.04,13.89,13.94,5.74,91500
2000-12-11,13.8,13.8,13.46,13.56,5.58,157600
2000-12-12,13.7,13.85,13.7,13.8,5.68,103300
2000-12-13,13.94,13.94,13.8,13.89,5.72,215500
2000-12-14,13.75,13.8,13.75,13.75,5.66,126600
2000-12-15,13.65,13.65,13.61,13.61,5.6,30500
2000-12-18,13.22,13.22,13.12,13.17,5.42,108800
2000-12-19,12.26,12.45,12.26,12.31,5.07,159500
2000-12-20,11.73,11.73,11.59,11.68,4.81,74300
2000-12-21,11.54,11.63,11.35,11.44,4.71,108500
2000-12-22,11.39,11.59,11.35,11.49,4.73,84700
2000-12-26,11.39,11.63,11.39,11.63,4.79,149100
2000-12-27,11.49,11.63,11.49,11.49,4.73,92300
2000-12-28,11.68,11.73,11.59,11.68,4.81,163900
2000-12-29,11.73,11.92,11.68,11.73,4.83,180000
2001-01-02,11.78,11.78,11.68,11.68,4.81,78100
2001-01-03,11.59,11.88,11.54,11.83,4.87,193000
2001-01-04,12.26,12.36,12.16,12.26,5.05,244500
2001-01-05,12.12,12.31,12.02,12.07,4.97,140900
2001-01-08,12.02,12.02,11.97,12.02,4.95,31800
2001-01-09,12.02,12.12,12.02,12.12,4.99,24400
2001-01-10,12.12,12.16,12.12,12.16,5.01,114000
2001-01-11,11.54,11.63,11.49,11.59,4.77,168400
2001-01-12,11.59,11.63,11.39,11.44,4.71,58200
2001-01-16,11.06,11.44,10.96,11.06,4.55,239700
2001-01-17,11.44,11.63,11.44,11.63,4.79,233600
2001-01-18,11.54,11.59,11.39,11.49,4.73,30800
2001-01-19,11.68,11.78,11.68,11.68,4.81,65700
2001-01-22,11.68,11.73,11.59,11.63,4.79,13100
2001-01-23,11.54,11.59,11.49,11.54,4.75,100600
2001-01-24,11.49,11.54,11.39,11.44,4.71,50100
2001-01-25,11.44,11.63,11.44,11.54,4.75,43200
2001-01-26,11.54,11.54,11.44,11.44,4.71,37100
2001-01-29,11.44,11.57,11.44,11.47,4.72,29600
2001-01-30,11.34,11.34,11.15,11.15,4.59,24700
2001-01-31,11.08,11.15,11.02,11.04,4.55,58600
2001-02-01,11.08,11.15,11.04,11.12,4.58,30800
2001-02-02,11.12,11.23,11.0,11.0,4.53,33200
2001-02-05,11.0,11.15,11.0,11.04,4.55,23500
2001-02-06,10.88,10.88,10.84,10.85,4.47,47000
2001-02-07,10.44,10.81,10.44,10.77,4.43,217600
2001-02-08,10.77,10.87,10.69,10.81,4.45,66900
2001-02-09,11.58,11.58,11.46,11.54,4.75,390100
2001-02-12,12.15,12.2,12.08,12.18,5.01,190100
2001-02-13,12.28,12.28,11.96,12.0,4.94,58700
2001-02-14,11.88,11.88,11.69,11.72,4.83,37400
2001-02-15,11.86,11.86,11.81,11.82,4.87,7100
2001-02-16,11.88,11.92,11.75,11.9,4.9,245000
2001-02-20,12.73,12.84,12.69,12.75,5.25,142300
2001-02-21,12.38,12.38,12.22,12.22,5.03,48200
2001-02-22,12.22,12.3,12.08,12.15,5.0,44300
2001-02-23,12.68,12.77,12.68,12.7,5.23,110300
2001-02-26,13.02,13.02,12.88,12.92,5.32,53500
2001-02-27,13.04,13.04,12.77,12.85,5.29,51400
2001-02-28,12.31,12.35,11.88,12.35,5.08,158700
2001-03-01,11.61,11.85,11.61,11.83,4.87,72900
2001-03-02,11.77,11.77,11.51,11.58,4.77,372800
2001-03-05,11.77,12.13,11.76,12.13,5.0,44400
2001-03-06,12.16,12.38,12.16,12.28,5.06,95600
2001-03-07,12.15,12.28,12.15,12.27,5.05,26000
2001-03-08,11.85,12.08,11.85,12.07,4.97,29100
2001-03-09,11.38,11.54,11.35,11.54,4.75,107900
2001-03-12,11.23,11.27,11.23,11.23,4.62,109900
2001-03-13,11.27,11.31,11.08,11.3,4.65,166100
2001-03-14,11.29,11.5,11.29,11.31,4.66,58500
2001-03-15,11.31,11.31,11.12,11.12,4.58,80900
2001-03-16,11.12,11.12,11.06,11.08,4.56,33600
2001-03-19,11.48,11.52,11.38,11.46,4.72,167900
2001-03-20,11.35,11.42,11.27,11.27,4.64,15000
2001-03-21,11.27,11.57,11.23,11.53,4.75,86000
2001-03-22,11.25,11.42,11.23,11.38,4.69,112000
2001-03-23,11.38,11.46,11.19,11.31,4.66,39200
2001-03-26,11.31,11.31,11.12,11.27,4.64,43000
2001-03-27,11.0,11.15,10.88,11.0,4.53,165700
2001-03-28,11.27,11.31,11.19,11.27,4.64,30900
2001-03-29,11.69,11.69,11.54,11.54,4.75,39200
2001-03-30,12.0,12.0,11.92,11.98,4.93,27900
2001-04-02,12.15,12.17,12.12,12.13,5.0,52600
